Phrase1	Person1	Personimg1	Audio1	Hint1	trans1	Phrase2	Person2	Personimg2	Audio2	Hint2	trans2	Note	Intro	Image	Tagimg	Taglogo	Tagtalk	Tags	Adio1toexport	Adio2toexport	1685	10	0	Tags
Being a model must be exhausting. They are required to be a beauty pattern and because of that, they are always on a diet	Salli	<img src='Salli10.png' />	[sound:Level-C1-1177302788.mp3]	B_i_g   a   m_d_l   m_s_   b_   <br>e_h_u_t_n_.   T_e_   a_e   <br>r_q_i_e_   t_   b_   a   b_a_t_   <br>p_t_e_n   a_d   b_c_u_e   o_   t_a_,   t_e_   a_e   a_w_y_   o_   a   d_e_   	Ser modelo deve ser exaustivo. Elas precisam ter um padrão de beleza e, por isso, estão sempre de dieta	There shouldn't be such a thing as a beauty pattern. Models considered thin by health experts set a bad example for girls	Kendra	<img src=Kendra10.png />	[sound:Level-C1-1233537962.mp3]	T_e_e   s_o_l_n't   b_   s_c_   <br>a   t_i_g   a_   a   b_a_t_   <br>p_t_e_n.   M_d_l_   c_n_i_e_e_   <br>t_i_   b_   h_a_t_   e_p_r_s   s_t   a   b_d   e_a_p_e   f_r   g_r_s   	Não deveria haver um padrão de beleza. Modelos consideradas magras por especialistas em saúde são um péssimo exemplo para meninas		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥15-Creative-Professions ⚑Relative-Clauses 	Level-C1-1177302788.mp3	Level-C1-1233537962.mp3				
A person working as a taxi driver must be familiar with the city streets	Eva	<img src='Eva10.png' />	[sound:Level-C1-673006137.mp3]	A   p_r_o_   w_r_i_g   a_   a   <br>t_x_   d_i_e_   m_s_   b_   <br>f_m_l_a_   w_t_   t_e   c_t_   <br>s_r_e_s   	Uma pessoa que trabalha como motorista de táxi deve estar familiarizada com as ruas da cidade	For sure. And this person must be a good driver and have an impeccable car	John	<img src=John10.png />	[sound:Level-C1-606427424.mp3]	F_r   s_r_.   A_d   t_i_   p_r_o_   <br>m_s_   b_   a   g_o_   <br>d_i_e_   a_d   h_v_   a_   i_p_c_a_l_   <br>c_r   	Com certeza. E essa pessoa deve ser um bom motorista e ter um carro impecável		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥15-Creative-Professions ⚑Relative-Clauses 	Level-C1-673006137.mp3	Level-C1-606427424.mp3				
You've worked as an accountant, haven't you? What do you think that it takes to be one? 	Matthew	<img src='Matthew10.png' />	[sound:Level-C1-131348060.mp3]	Y_u'v_   w_r_e_   a_   a_   a_c_u_t_n_,   <br>h_v_n't   y_u?   <br>W_a_   d_   y_u   t_i_k   t_a_   <br>i_   t_k_s   t_   b_   o_e?      	Você trabalhou como contadora, não trabalhou? O que você acha que é preciso para ser um?	Yes, I have. But I didn't like it so much. A person working as an accountant has to be very accurate and good with numbers  	Ana	<img src=Ana10.png />	[sound:Level-C1-593648861.mp3]	Y_s,   I   h_v_.   B_t   I   d_d_'_   <br>l_k_   i_   s_   m_c_.   <br>A   p_r_o_   w_r_i_g   a_   <br>a_   a_c_u_t_n_   h_s   t_   b_   v_r_   a_c_r_t_   a_d   g_o_   w_t_   n_m_e_s         	Sim, eu já. Mas não gostei muito. Uma pessoa que trabalha como contador deve ser muito precisa e boa com números		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥15-Creative-Professions ⚑Relative-Clauses 	Level-C1-131348060.mp3	Level-C1-593648861.mp3				
I can't handle physics, thermodynamics is to difficult for me to understand, sometimes I feel like giving up!	Justin	<img src='Justin10.png' />	[sound:Level-C1-169676838.mp3]	I   c_n't   h_n_l_   p_y_i_s,   <br>t_e_m_d_n_m_c_   i_   t_   <br>d_f_i_u_t   f_r   m_   t_   <br>u_d_r_t_n_,   s_m_t_m_s   I   f_e_   l_k_   g_v_n_   u_!   	Não consigo lidar com a física, a termodinâmica é difícil para eu entender, às vezes sinto vontade de desistir!	Don't say that, honey. Even Albert Einstein, thought to be one of the great minds of the twentieth century, struggled in school. I'll help you, and if I can't, we'll hire a phisics private tutor	Ana	<img src=Ana10.png />	[sound:Level-C1-662341923.mp3]	D_n't   s_y   t_a_,   h_n_y.   <br>E_e_   A_b_r_   E_n_t_i_,   <br>t_o_g_t   t_   b_   o_e   o_   <br>t_e   g_e_t   m_n_s   o_   t_e   t_e_t_e_h   c_n_u_y,   s_r_g_l_d   i_   s_h_o_.   I'l_   h_l_   y_u,   a_d   i_   I   c_n't,   w_'_l   h_r_   a   p_i_i_s   p_i_a_e   t_t_r   	Não diga isso, querido. Até Albert Einstein, considerado uma das grandes mentes do século XX, tinha dificuldade na escola. Vou ajudá-lo e, se não puder, contrataremos um professor particular de física		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥15-Creative-Professions ⚑Relative-Clauses 	Level-C1-169676838.mp3	Level-C1-662341923.mp3				
What makes a good detective? 	Justin	<img src='Justin10.png' />	[sound:Level-C1-1721934008.mp3]	W_a_   m_k_s   a   g_o_   d_t_c_i_e?   <br>   	O que faz um bom detetive?	Well, people clever enough to get inside the mind of a criminal would make good detectives. I'll recommend you a series which portrays the job of an excellent detective 	Matthew	<img src=Matthew10.png />	[sound:Level-C1-985798646.mp3]	W_l_,   p_o_l_   c_e_e_   e_o_g_   <br>t_   g_t   i_s_d_   t_e   <br>m_n_   o_   a   c_i_i_a_   <br>w_u_d   m_k_   g_o_   d_t_c_i_e_.   I'l_   r_c_m_e_d   y_u   a   s_r_e_   w_i_h   p_r_r_y_   t_e   j_b   o_   a_   e_c_l_e_t   d_t_c_i_e      	Bem, pessoas inteligentes o suficiente para entrar na mente de um criminoso seriam bons detetives. Vou te recomendar uma série que retrata o trabalho de um excelente detetive		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥15-Creative-Professions ⚑Relative-Clauses 	Level-C1-1721934008.mp3	Level-C1-985798646.mp3				
A person able to always find new ways to make other people laugh can be a comedian	Matthew	<img src='Matthew10.png' />	[sound:Level-C1-434337040.mp3]	A   p_r_o_   a_l_   t_   a_w_y_   <br>f_n_   n_w   w_y_   t_   <br>m_k_   o_h_r   p_o_l_   l_u_h   <br>c_n   b_   a   c_m_d_a_   	Uma pessoa capaz de sempre encontrar novas maneiras de fazer outras pessoas rirem pode ser um comediante	Well, I don't have this ability. I'm not an outgoing person. I'd rather have a job in which I work alone 	John	<img src=John10.png />	[sound:Level-C1-856520423.mp3]	W_l_,   I   d_n't   h_v_   t_i_   <br>a_i_i_y.   I'm   n_t   <br>a_   o_t_o_n_   p_r_o_.   I'd   <br>r_t_e_   h_v_   a   j_b   i_   w_i_h   I   w_r_   a_o_e      	Bem, eu não tenho essa capacidade. Eu não sou uma pessoa extrovertida. Prefiro ter um emprego em que trabalhe sozinho		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥15-Creative-Professions ⚑Relative-Clauses 	Level-C1-434337040.mp3	Level-C1-856520423.mp3				
When I graduate in high school, I'd like to travel abroad or maybe enter in a student exchange program 	Eva	<img src='Eva10.png' />	[sound:Level-C1-224839445.mp3]	W_e_   I   g_a_u_t_   i_   h_g_   <br>s_h_o_,   I'd   l_k_   <br>t_   t_a_e_   a_r_a_   o_   m_y_e   <br>e_t_r   i_   a   s_u_e_t   e_c_a_g_   p_o_r_m      	Quando eu me formar no ensino médio, gostaria de viajar para o exterior ou talvez participar de um programa de intercâmbio de estudantes	Anyone hoping to be an exchange student should speak English and Spanish as much as possible. How are your Spanish lessons with Mrs. Gonzáles?	Kendra	<img src=Kendra10.png />	[sound:Level-C1-1363392163.mp3]	A_y_n_   h_p_n_   t_   b_   a_   <br>e_c_a_g_   s_u_e_t   s_o_l_   <br>s_e_k   E_g_i_h   a_d   <br>S_a_i_h   a_   m_c_   a_   p_s_i_l_.   H_w   a_e   y_u_   S_a_i_h   l_s_o_s   w_t_   M_s.   G_n_á_e_?   	Qualquer pessoa que deseje ser estudante de intercâmbio deve falar inglês e espanhol o máximo possível. Como estão suas aulas de espanhol com a sra. Gonzáles?		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥15-Creative-Professions ⚑Relative-Clauses 	Level-C1-224839445.mp3	Level-C1-1363392163.mp3				
When I was a kid, I wanted to be a soccer player, but I gave up this idea very quickly, because athletes have to exercise a lot, and I don't like it 	Matthew	<img src='Matthew10.png' />	[sound:Level-C1-1167136382.mp3]	W_e_   I   w_s   a   k_d,   I   <br>w_n_e_   t_   b_   a   s_c_e_   <br>p_a_e_,   b_t   I   g_v_   <br>u_   t_i_   i_e_   v_r_   q_i_k_y,   b_c_u_e   a_h_e_e_   h_v_   t_   e_e_c_s_   a   l_t,   a_d   I   d_n't   l_k_   i_      	Quando eu era criança, queria ser jogador de futebol, mas desisti dessa ideia muito rapidamente, porque os atletas precisam se exercitar muito, e eu não gosto disso	Anyone dreaming of becoming a champion athlete has to be prepared to do a lot of hard work 	Kimberly	<img src=Kimberly10.png />	[sound:Level-C1-2027419938.mp3]	A_y_n_   d_e_m_n_   o_   b_c_m_n_   <br>a   c_a_p_o_   a_h_e_e   <br>h_s   t_   b_   p_e_a_e_   <br>t_   d_   a   l_t   o_   h_r_   w_r_      	Quem sonha em se tornar um atleta campeão deve estar preparado para trabalhar duro		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥15-Creative-Professions ⚑Relative-Clauses ♚	Level-C1-1167136382.mp3	Level-C1-2027419938.mp3				
I've always admired veterinarians, they take their time studying the animals so they are able to take care of them in a proper way. I'd make a good veterinarian, don't you think?	Salli	<img src='Salli10.png' />	[sound:Level-C1-1800915678.mp3]	I'v_   a_w_y_   a_m_r_d   v_t_r_n_r_a_s,   <br>t_e_   t_k_   <br>t_e_r   t_m_   s_u_y_n_   t_e   <br>a_i_a_s   s_   t_e_   a_e   a_l_   t_   t_k_   c_r_   o_   t_e_   i_   a   p_o_e_   w_y.   I'd   m_k_   a   g_o_   v_t_r_n_r_a_,   d_n't   y_u   t_i_k?   	Sempre admirei veterinários, eles estudam os animais para que possam cuidar deles de maneira adequada. Eu daria uma boa veterinária, não acha?	Yes, you would. Loving the animals is an important part of being a veterinarian, but that's not just it. Someone wanting to be a vet has to deeply study the behavior os animals 	Ana	<img src=Ana10.png />	[sound:Level-C1-1610552940.mp3]	Y_s,   y_u   w_u_d.   L_v_n_   <br>t_e   a_i_a_s   i_   a_   <br>i_p_r_a_t   p_r_   o_   b_i_g   <br>a   v_t_r_n_r_a_,   b_t   t_a_'_   n_t   j_s_   i_.   S_m_o_e   w_n_i_g   t_   b_   a   v_t   h_s   t_   d_e_l_   s_u_y   t_e   b_h_v_o_   o_   a_i_a_s      	Sim, você faria. Amar os animais é uma parte importante de ser um veterinário, mas não é só isso. Alguém que quer ser veterinário precisa estudar profundamente o comportamento dos animais		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥15-Creative-Professions ⚑Relative-Clauses 	Level-C1-1800915678.mp3	Level-C1-1610552940.mp3				
What do you think about being a lawyer?	Kimberly	<img src='Kimberly10.png' />	[sound:Level-C1-570340755.mp3]	W_a_   d_   y_u   t_i_k   a_o_t   <br>b_i_g   a   l_w_e_?   	O que você acha de ser advogado?	Well, anyone hoping to get into law school will find that the field is extremely competitive	John	<img src=John10.png />	[sound:Level-C1-1569015224.mp3]	W_l_,   a_y_n_   h_p_n_   t_   <br>g_t   i_t_   l_w   s_h_o_   <br>w_l_   f_n_   t_a_   t_e   f_e_d   <br>i_   e_t_e_e_y   c_m_e_i_i_e   	Bem, quem espera entrar na faculdade de direito verá que o campo é extremamente competitivo		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥15-Creative-Professions ⚑Relative-Clauses 	Level-C1-570340755.mp3	Level-C1-1569015224.mp3				
My husband refused to get a new cell phone with a music app, which has resulted in a closet full of old CDs	Ana	<img src='Ana10.png' />	[sound:Level-C1-1724273292.mp3]	M_   h_s_a_d   r_f_s_d   t_   g_t   <br>a   n_w   c_l_   p_o_e   <br>w_t_   a   m_s_c   a_p,   <br>w_i_h   h_s   r_s_l_e_   i_   a   c_o_e_   f_l_   o_   o_d   C_s   	Meu marido se recusou a comprar um novo celular com um aplicativo de música, o que resultou em um armário cheio de CDs antigos	Well, CDs are no longer useful with all these smartphone apps. I have one on my cell phone that has more than 50 millions songs	Salli	<img src=Salli10.png />	[sound:Level-C1-854356451.mp3]	W_l_,   C_s   a_e   n_   l_n_e_   <br>u_e_u_   w_t_   a_l   t_e_e   <br>s_a_t_h_n_   a_p_.   I   <br>h_v_   o_e   o_   m_   c_l_   p_o_e   t_a_   h_s   m_r_   t_a_   5_   m_l_i_n_   s_n_s   	Bem, os CDs não são mais úteis com todos esses aplicativos para smartphones. Eu tenho um no meu celular que tem mais de 50 milhões de músicas		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥16-Ideas-that-work ⚑Relative-Clauses ♚	Level-C1-1724273292.mp3	Level-C1-854356451.mp3				
A few weeks ago you told me your father had been a little sad. Is he better now? 	Kendra	<img src='Kendra10.png' />	[sound:Level-C1-903738207.mp3]	A   f_w   w_e_s   a_o   y_u   t_l_   <br>m_   y_u_   f_t_e_   <br>h_d   b_e_   a   l_t_l_   s_d.   <br>I_   h_   b_t_e_   n_w?      	Algumas semanas atrás, você me disse que seu pai estava um pouco triste. Ele está melhor agora?	Yes, he is. My dad is happier since he took up golf, which suggests that hobbies are good both mentally and physically	Justin	<img src=Justin10.png />	[sound:Level-C1-1401980518.mp3]	Y_s,   h_   i_.   M_   d_d   i_   <br>h_p_i_r   s_n_e   h_   <br>t_o_   u_   g_l_,   w_i_h   s_g_e_t_   <br>t_a_   h_b_i_s   a_e   g_o_   b_t_   m_n_a_l_   a_d   p_y_i_a_l_   	Sim, ele está. Meu pai está mais feliz desde que começou a jogar golfe, o que sugere que os hobbies são bons tanto mentalmente quanto fisicamente		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥16-Ideas-that-work ⚑Relative-Clauses 	Level-C1-903738207.mp3	Level-C1-1401980518.mp3				
How was school today, honey? Any good news? 	Ana	<img src='Ana10.png' />	[sound:Level-C1-812342795.mp3]	H_w   w_s   s_h_o_   t_d_y,   h_n_y?   <br>A_y   g_o_   n_w_?   <br>   	Como foi a escola hoje, querida? Alguma boa notícia?	It was great, mom! My teacher praised my Spanish today, which encourages me to study harder. I wanna be fluent in Spanish!	Eva	<img src=Eva10.png />	[sound:Level-C1-918580346.mp3]	I_   w_s   g_e_t,   m_m!   M_   <br>t_a_h_r   p_a_s_d   m_   <br>S_a_i_h   t_d_y,   w_i_h   e_c_u_a_e_   <br>m_   t_   s_u_y   h_r_e_.   I   w_n_a   b_   f_u_n_   i_   S_a_i_h!   	Foi ótima, mãe! Meu professor elogiou meu espanhol hoje, o que me incentiva a estudar mais. Eu quero ser fluente em espanhol!		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥16-Ideas-that-work ⚑Relative-Clauses ♚	Level-C1-812342795.mp3	Level-C1-918580346.mp3				
Wow, your necklace is shining! What did you do to it? 	Ana	<img src='Ana10.png' />	[sound:Level-C1-343775757.mp3]	W_w,   y_u_   n_c_l_c_   i_   s_i_i_g!   <br>W_a_   d_d   y_u   <br>d_   t_   i_?      	Uau, seu colar está brilhando! O que você fez com ele?	I learned how to clean jewelry with toothpaste, which depressed me because it meant I had wasted a fortune on expensive cleaners	Kimberly	<img src=Kimberly10.png />	[sound:Level-C1-955169591.mp3]	I   l_a_n_d   h_w   t_   c_e_n   <br>j_w_l_y   w_t_   t_o_h_a_t_,   <br>w_i_h   d_p_e_s_d   m_   <br>b_c_u_e   i_   m_a_t   I   h_d   w_s_e_   a   f_r_u_e   o_   e_p_n_i_e   c_e_n_r_   	Aprendi a limpar joias com pasta de dente, o que me deprimiu porque significava que havia desperdiçado uma fortuna em produtos de limpeza caros		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥16-Ideas-that-work ⚑Relative-Clauses 	Level-C1-343775757.mp3	Level-C1-955169591.mp3				
How's the sewing course? I've heard you're already making your own clothes	Matthew	<img src='Matthew10.png' />	[sound:Level-C1-1183101280.mp3]	H_w's   t_e   s_w_n_   c_u_s_?   <br>I'v_   h_a_d   y_u'r_   <br>a_r_a_y   m_k_n_   y_u_   o_n   <br>c_o_h_s   	Como está o curso de costura? Ouvi dizer que você já está fazendo suas próprias roupas	It's been great! I started making my own clothes two months ago, which has contributed to financial savings and a full closet	Kendra	<img src=Kendra10.png />	[sound:Level-C1-629714847.mp3]	I_'_   b_e_   g_e_t!   I   s_a_t_d   <br>m_k_n_   m_   o_n   <br>c_o_h_s   t_o   m_n_h_   a_o,   <br>w_i_h   h_s   c_n_r_b_t_d   t_   f_n_n_i_l   s_v_n_s   a_d   a   f_l_   c_o_e_   	Tem sido ótimo! Comecei a fazer minhas próprias roupas há dois meses, o que contribuiu para economia financeira e um armário cheio		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥16-Ideas-that-work ⚑Relative-Clauses ♚	Level-C1-1183101280.mp3	Level-C1-629714847.mp3				
Kendra is really focused, one of her students' father works with me and he told me his son loves Kendra's classes. She's passionate about teaching!	John	<img src='John10.png' />	[sound:Level-C1-1627636888.mp3]	K_n_r_   i_   r_a_l_   f_c_s_d,   <br>o_e   o_   h_r   s_u_e_t_'   <br>f_t_e_   w_r_s   w_t_   <br>m_   a_d   h_   t_l_   m_   h_s   s_n   l_v_s   K_n_r_'_   c_a_s_s.   S_e's   p_s_i_n_t_   a_o_t   t_a_h_n_!   	A Kendra é realmente focada, o pai de um de seus alunos trabalha comigo e ele me disse que seu filho adora as aulas da Kendra. Ela é apaixonada por ensinar!	Well, my sister has always loved school, which encouraged her to go into teaching 	Ana	<img src=Ana10.png />	[sound:Level-C1-1752539956.mp3]	W_l_,   m_   s_s_e_   h_s   a_w_y_   <br>l_v_d   s_h_o_,   w_i_h   <br>e_c_u_a_e_   h_r   t_   <br>g_   i_t_   t_a_h_n_      	Bem, minha irmã sempre amou a escola, o que a incentivou a ensinar		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥16-Ideas-that-work ⚑Relative-Clauses 	Level-C1-1627636888.mp3	Level-C1-1752539956.mp3				
Julio is so nice. No wonder he has a lot of friends. Every time I see him, he's surrounded by many people	Salli	<img src='Salli10.png' />	[sound:Level-C1-1523119551.mp3]	J_l_o   i_   s_   n_c_.   N_   <br>w_n_e_   h_   h_s   a   l_t   <br>o_   f_i_n_s.   E_e_y   t_m_   <br>I   s_e   h_m,   h_'_   s_r_o_n_e_   b_   m_n_   p_o_l_   	Julio é tão legal. Não é de admirar que ele tenha muitos amigos. Toda vez que eu o vejo, ele está cercado por muitas pessoas	Well, Julio is really good at solving problems, which is why people always go to him for help 	Ana	<img src=Ana10.png />	[sound:Level-C1-836321536.mp3]	W_l_,   J_l_o   i_   r_a_l_   g_o_   <br>a_   s_l_i_g   p_o_l_m_,   <br>w_i_h   i_   w_y   p_o_l_   <br>a_w_y_   g_   t_   h_m   f_r   h_l_      	Bem, Julio é realmente bom em resolver problemas, e é por isso que as pessoas sempre o procuram em busca de ajuda		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥16-Ideas-that-work ⚑Relative-Clauses 	Level-C1-1523119551.mp3	Level-C1-836321536.mp3				
What are you doing with all those boxes? Are you moving? 	Eva	<img src='Eva10.png' />	[sound:Level-C1-648945772.mp3]	W_a_   a_e   y_u   d_i_g   w_t_   <br>a_l   t_o_e   b_x_s?   <br>A_e   y_u   m_v_n_?      	O que você está fazendo com todas essas caixas? Você está se mudando?	Don't worry, I'm not moving. I want to give away my old college books, which means I have to get boxes for them	Salli	<img src=Salli10.png />	[sound:Level-C1-939194236.mp3]	D_n't   w_r_y,   I'm   n_t   m_v_n_.   <br>I   w_n_   t_   g_v_   <br>a_a_   m_   o_d   c_l_e_e   <br>b_o_s,   w_i_h   m_a_s   I   h_v_   t_   g_t   b_x_s   f_r   t_e_   	Não se preocupe, não estou me mudando. Quero doar meus livros antigos da faculdade, o que significa que tenho que arrumar caixas para eles		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥16-Ideas-that-work ⚑Relative-Clauses ♚	Level-C1-648945772.mp3	Level-C1-939194236.mp3				
Eva made a robot costume for herself, which is why she was covered in aluminum foil yesterday. It's for a school project	John	<img src='John10.png' />	[sound:Level-C1-443985092.mp3]	E_a   m_d_   a   r_b_t   c_s_u_e   <br>f_r   h_r_e_f,   w_i_h   <br>i_   w_y   s_e   w_s   c_v_r_d   <br>i_   a_u_i_u_   f_i_   y_s_e_d_y.   I_'_   f_r   a   s_h_o_   p_o_e_t   	A Eva fez uma fantasia de robô para si mesma, e foi por isso que ela estava coberta com papel alumínio ontem. É para um projeto escolar	She scared the bejesus of me! 	Kendra	<img src=Kendra10.png />	[sound:Level-C1-1476368211.mp3]	S_e   s_a_e_   t_e   b_j_s_s   <br>o_   m_!      	Ela me assustou pra caramba! 		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥16-Ideas-that-work ⚑Relative-Clauses 	Level-C1-443985092.mp3	Level-C1-1476368211.mp3				
What are all the newspapers for? Are you doing some kind of handicraft?	Kimberly	<img src='Kimberly10.png' />	[sound:Level-C1-1235088915.mp3]	W_a_   a_e   a_l   t_e   n_w_p_p_r_   <br>f_r?   A_e   y_u   <br>d_i_g   s_m_   k_n_   o_   h_n_i_r_f_?   <br>	Para que servem todos os jornais? Você está fazendo algum tipo de artesanato?	No, I'm not. I'm going to repaint my bedroom next week, which is why I've been saving old newspapers. I'll put them on the floor so the paint won't leave a stain on it 	Matthew	<img src=Matthew10.png />	[sound:Level-C1-1739872516.mp3]	N_,   I'm   n_t.   I'm   g_i_g   <br>t_   r_p_i_t   m_   b_d_o_m   <br>n_x_   w_e_,   w_i_h   i_   <br>w_y   I'v_   b_e_   s_v_n_   o_d   n_w_p_p_r_.   I'l_   p_t   t_e_   o_   t_e   f_o_r   s_   t_e   p_i_t   w_n't   l_a_e   a   s_a_n   o_   i_      	Não, eu não estou. Vou repintar meu quarto na próxima semana, e é por isso que tenho guardado jornais velhos. Vou colocá-los no chão para que a tinta não deixe manchas nele		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥16-Ideas-that-work ⚑Relative-Clauses ♚	Level-C1-1235088915.mp3	Level-C1-1739872516.mp3				
Where has Elliot been? I haven't seen him in a while. I really miss our small talks	Justin	<img src='Justin10.png' />	[sound:Level-C1-1356945226.mp3]	W_e_e   h_s   E_l_o_   b_e_?   <br>I   h_v_n't   s_e_   h_m   <br>i_   a   w_i_e.   I   r_a_l_   <br>m_s_   o_r   s_a_l   t_l_s   	Por onde o Elliot anda? Eu não o vejo há um tempo. Eu realmente sinto falta de nossas conversas fiadas	Well, Elliot got promoted. He's going to work from home now. So, he moved to a small town, which surprised us since he loves the big cities	John	<img src=John10.png />	[sound:Level-C1-1433044583.mp3]	W_l_,   E_l_o_   g_t   p_o_o_e_.   <br>H_'_   g_i_g   t_   w_r_   <br>f_o_   h_m_   n_w.   S_,   <br>h_   m_v_d   t_   a   s_a_l   t_w_,   w_i_h   s_r_r_s_d   u_   s_n_e   h_   l_v_s   t_e   b_g   c_t_e_   	Bem, Elliot foi promovido. Ele vai trabalhar em casa agora. Então, ele se mudou para uma cidade pequena, o que nos surpreendeu, pois ele ama as grandes cidades		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥16-Ideas-that-work ⚑Relative-Clauses 	Level-C1-1356945226.mp3	Level-C1-1433044583.mp3				
I just had a big fight with Ana, which depressed me because she's my best friend	Salli	<img src='Salli10.png' />	[sound:Level-C1-2103983850.mp3]	I   j_s_   h_d   a   b_g   f_g_t   <br>w_t_   A_a,   w_i_h   <br>d_p_e_s_d   m_   b_c_u_e   s_e's   <br>m_   b_s_   f_i_n_   	Acabei de ter uma briga feia com a Ana, o que me deprimiu porque ela é minha melhor amiga	What were you fighting for? Is there anything I could do to help you guys solve the problem?	Kendra	<img src=Kendra10.png />	[sound:Level-C1-1006766983.mp3]	W_a_   w_r_   y_u   f_g_t_n_   <br>f_r?   I_   t_e_e   a_y_h_n_   <br>I   c_u_d   d_   t_   h_l_   <br>y_u   g_y_   s_l_e   t_e   p_o_l_m?   	Pelo que vocês estavam brigando? Existe algo que eu possa fazer para ajudar vocês a resolver o problema?		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥16-Ideas-that-work ⚑Relative-Clauses 	Level-C1-2103983850.mp3	Level-C1-1006766983.mp3				
I go jogging every morning, which has contributed to my weight loss and more energy 	Matthew	<img src='Matthew10.png' />	[sound:Level-C1-502570655.mp3]	I   g_   j_g_i_g   e_e_y   m_r_i_g,   <br>w_i_h   h_s   c_n_r_b_t_d   <br>t_   m_   w_i_h_   l_s_   <br>a_d   m_r_   e_e_g_      	Eu corro todas as manhãs, o que contribuiu para minha perda de peso e mais energia	I wish I had your liveliness. I'm a couch potato, I hate exercising even though I know it's good for my health and well-being 	Kimberly	<img src=Kimberly10.png />	[sound:Level-C1-1723998878.mp3]	I   w_s_   I   h_d   y_u_   l_v_l_n_s_.   <br>I'm   a   c_u_h   <br>p_t_t_,   I   h_t_   e_e_c_s_n_   <br>e_e_   t_o_g_   I   k_o_   i_'_   g_o_   f_r   m_   h_a_t_   a_d   w_l_-_e_n_      	Eu gostaria de ter o seu ânimo. Sou uma preguiçosa, detesto me exercitar, mesmo sabendo que é bom para minha saúde e bem-estar		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥16-Ideas-that-work ⚑Relative-Clauses 	Level-C1-502570655.mp3	Level-C1-1723998878.mp3				
Why were you trying to break into your car this morning? 	Salli	<img src='Salli10.png' />	[sound:Level-C1-23629334.mp3]	W_y   w_r_   y_u   t_y_n_   t_   <br>b_e_k   i_t_   y_u_   c_r   <br>t_i_   m_r_i_g?      	Por que você estava tentando arrombar seu carro esta manhã?	I had locked my keys in my car, which is why you saw me opening it with a coat hanger	John	<img src=John10.png />	[sound:Level-C1-789229943.mp3]	I   h_d   l_c_e_   m_   k_y_   <br>i_   m_   c_r,   w_i_h   i_   <br>w_y   y_u   s_w   m_   o_e_i_g   <br>i_   w_t_   a   c_a_   h_n_e_   	Eu tinha trancado minhas chaves no meu carro, e foi por isso que você me viu abrindo ele com um cabide		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥16-Ideas-that-work ⚑Relative-Clauses 	Level-C1-23629334.mp3	Level-C1-789229943.mp3				
